                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.7874,                 1.5064,                 1.1018,                0.59402,                0.50075,                0.48986,                0.22528,                 1.7467,                 3.1837,                0.77703,             4.1001e-05,             4.1001e-05,             4.1001e-05
                     61,                 1.7233,                 1.5057,                 1.0826,                0.60034,                0.48276,                0.48644,                0.22488,                 1.7467,                 3.1723,                0.78031,             4.0001e-05,             4.0001e-05,             4.0001e-05
                     62,                  1.754,                 1.5408,                 1.1086,                0.59996,                0.48576,                0.47996,                0.22132,                 1.7434,                 3.1692,                0.78805,             3.9001e-05,             3.9001e-05,             3.9001e-05
                     63,                 1.7627,                 1.4992,                 1.1158,                0.60054,                0.47976,                0.47559,                0.22327,                 1.7416,                 3.1661,                0.78751,             3.8001e-05,             3.8001e-05,             3.8001e-05
                     64,                 1.8432,                 1.5529,                 1.1082,                0.60094,                0.48126,                0.47732,                0.22138,                 1.7452,                 3.1675,                0.78783,             3.7001e-05,             3.7001e-05,             3.7001e-05
                     65,                 1.7883,                 1.5135,                 1.1126,                 0.5859,                0.48153,                0.47282,                0.22005,                 1.7493,                 3.1615,                0.78967,             3.6001e-05,             3.6001e-05,             3.6001e-05
                     66,                  1.755,                 1.5236,                 1.1009,                0.60192,                0.47376,                0.46962,                0.21928,                 1.7513,                 3.1575,                  0.793,             3.5001e-05,             3.5001e-05,             3.5001e-05
                     67,                  1.764,                 1.5101,                 1.1022,                 0.5877,                0.47443,                0.46708,                0.21855,                 1.7332,                 3.1578,                0.78459,             3.4001e-05,             3.4001e-05,             3.4001e-05
                     68,                 1.7358,                 1.5112,                 1.0964,                  0.601,                0.47526,                0.48289,                0.22273,                 1.7317,                 3.1592,                0.77938,             3.3001e-05,             3.3001e-05,             3.3001e-05
                     69,                 1.7059,                 1.5256,                 1.0986,                0.59556,                0.47676,                0.48373,                0.22514,                 1.7358,                 3.1688,                0.77917,             3.2001e-05,             3.2001e-05,             3.2001e-05
                     70,                 1.8443,                 1.4902,                 1.0951,                0.58995,                0.47826,                 0.4842,                0.22587,                 1.7423,                 3.1735,                0.77639,             3.1001e-05,             3.1001e-05,             3.1001e-05
                     71,                 1.7625,                 1.5744,                 1.1181,                  0.577,                0.49775,                0.49052,                0.22327,                 1.7591,                 3.2024,                0.77866,             3.0001e-05,             3.0001e-05,             3.0001e-05
                     72,                 1.8216,                 1.5646,                 1.1246,                0.58251,                0.49175,                0.48969,                0.22292,                 1.7575,                 3.1895,                0.77761,             2.9001e-05,             2.9001e-05,             2.9001e-05
                     73,                 1.7564,                 1.4778,                 1.0958,                0.59316,                0.49025,                0.49651,                0.22665,                 1.7499,                 3.1669,                0.77722,             2.8001e-05,             2.8001e-05,             2.8001e-05
                     74,                 1.8115,                 1.5088,                  1.112,                0.59414,                0.48943,                0.49357,                0.22677,                 1.7402,                 3.1657,                0.77676,             2.7001e-05,             2.7001e-05,             2.7001e-05
                     75,                 1.7415,                  1.499,                 1.0899,                 0.5938,                0.48436,                0.49344,                0.22492,                 1.7425,                 3.1766,                0.77667,             2.6001e-05,             2.6001e-05,             2.6001e-05
                     76,                 1.7587,                 1.5178,                 1.0924,                0.60373,                0.48426,                0.48738,                 0.2253,                 1.7462,                 3.1823,                0.77992,             2.5001e-05,             2.5001e-05,             2.5001e-05
                     77,                 1.7775,                 1.4749,                 1.0895,                0.60684,                0.46745,                0.48482,                0.22345,                 1.7449,                 3.1891,                0.78238,             2.4001e-05,             2.4001e-05,             2.4001e-05
                     78,                 1.7366,                 1.5047,                 1.0893,                0.58833,                0.48423,                0.48559,                0.22481,                 1.7404,                 3.1825,                0.78437,             2.3001e-05,             2.3001e-05,             2.3001e-05
